"t","i","j","w"
"2012-10-02","Aurélie Filippetti","Frédéric Mitterrand",9.68783377614805e-06
"2012-10-02","Aurélie Filippetti","Jean-Marc Ayrault",9.36713307183423e-05
"2012-10-02","Frédéric Mitterrand","Jean-Marc Ayrault",3.93526489251808e-05
"2012-01-03","Conseil d'Etat","Jean Musitelli",0.000645994832041344
"2012-01-03","Conseil d'Etat","Michel Thiollière",0.00018754688672168
"2012-01-03","Jean Musitelli","Michel Thiollière",0.0017921146953405
"2013-06-03","Amazon","Arcep",0.00017636684303351
"2013-06-03","Amazon","Aurélie Filippetti",6.46778235912362e-05
"2013-06-03","Amazon","CSA",4.77383936030552e-05
"2013-06-03","Amazon","François Hollande",6.38111190875009e-05
"2013-06-03","Amazon","Mission Lescure",4.52437507069335e-05
"2013-06-03","Amazon","Netflix",0.000476190476190476
"2013-06-03","Arcep","Aurélie Filippetti",6.28812173803685e-05
"2013-06-03","Arcep","CSA",4.64123271140815e-05
"2013-06-03","Arcep","François Hollande",6.2038588001737e-05
"2013-06-03","Arcep","Mission Lescure",4.39869798539632e-05
"2013-06-03","Arcep","Netflix",0.000462962962962963
"2013-06-03","Aurélie Filippetti","CSA",1.70204798924306e-05
"2013-06-03","Aurélie Filippetti","François Hollande",2.27509932230479e-05
"2013-06-03","Aurélie Filippetti","Mission Lescure",1.61310486391444e-05
"2013-06-03","Aurélie Filippetti","Netflix",0.000169779286926995
"2013-06-03","CSA","François Hollande",1.67923997598687e-05
"2013-06-03","CSA","Mission Lescure",1.19062501860351e-05
"2013-06-03","CSA","Netflix",0.00012531328320802
"2013-06-03","François Hollande","Mission Lescure",1.59148871833434e-05
"2013-06-03","François Hollande","Netflix",0.00016750418760469
"2013-06-03","Mission Lescure","Netflix",0.000118764845605701
"2011-10-03","Catherine Tasca","Christine Albanel",0.000198609731876862
"2011-10-03","Catherine Tasca","CMP",0.00119047619047619
"2011-10-03","Catherine Tasca","Éric Walter",0.000598802395209581
"2011-10-03","Catherine Tasca","FNAC",0.000694444444444444
"2011-10-03","Catherine Tasca","Frédéric Mitterrand",0.000285306704707561
"2011-10-03","Catherine Tasca","Guillaume Cerutti",0.01
"2011-10-03","Catherine Tasca","Jack Lang",0.00136986301369863
"2011-10-03","Catherine Tasca","Jacques Toubon",0.00181818181818182
"2011-10-03","Catherine Tasca","Jean-François Copé",0.00141843971631206
"2011-10-03","Catherine Tasca","Mission Olivennes",0.000557103064066852
"2011-10-03","Catherine Tasca","Mission Zelnik",0.000769230769230769
"2011-10-03","Catherine Tasca","Naïve",0.0037037037037037
"2011-10-03","Catherine Tasca","Nicolas Sarkozy",0.000151515151515152
"2011-10-03","Catherine Tasca","PCF",0.00625
"2011-10-03","Catherine Tasca","UMP",0.000126903553299492
"2011-10-03","Catherine Tasca","Verts",0.000757575757575758
"2011-10-03","Christine Albanel","CMP",4.72880313992528e-05
"2011-10-03","Christine Albanel","Éric Walter",2.37855966319595e-05
"2011-10-03","Christine Albanel","FNAC",2.75846849828975e-05
"2011-10-03","Christine Albanel","Frédéric Mitterrand",1.13329376249279e-05
"2011-10-03","Christine Albanel","Guillaume Cerutti",0.000397219463753724
"2011-10-03","Christine Albanel","Jack Lang",5.4413625171743e-05
"2011-10-03","Christine Albanel","Jacques Toubon",7.22217206824953e-05
"2011-10-03","Christine Albanel","Jean-François Copé",5.63431863480461e-05
"2011-10-03","Christine Albanel","Mission Olivennes",2.21292180364192e-05
"2011-10-03","Christine Albanel","Mission Zelnik",3.05553433656711e-05
"2011-10-03","Christine Albanel","Naïve",0.000147118319908787
"2011-10-03","Christine Albanel","Nicolas Sarkozy",6.01847672354129e-06
"2011-10-03","Christine Albanel","PCF",0.000248262164846078
"2011-10-03","Christine Albanel","UMP",5.04085613900663e-06
"2011-10-03","Christine Albanel","Verts",3.00923836177064e-05
"2011-10-03","CMP","Éric Walter",0.000142571998859424
"2011-10-03","CMP","FNAC",0.000165343915343915
"2011-10-03","CMP","Frédéric Mitterrand",6.79301677875145e-05
"2011-10-03","CMP","Guillaume Cerutti",0.00238095238095238
"2011-10-03","CMP","Jack Lang",0.000326157860404436
"2011-10-03","CMP","Jacques Toubon",0.000432900432900433
"2011-10-03","CMP","Jean-François Copé",0.000337723741979062
"2011-10-03","CMP","Mission Olivennes",0.000132643586682584
"2011-10-03","CMP","Mission Zelnik",0.000183150183150183
"2011-10-03","CMP","Naïve",0.000881834215167547
"2011-10-03","CMP","Nicolas Sarkozy",3.60750360750362e-05
"2011-10-03","CMP","PCF",0.00148809523809524
"2011-10-03","CMP","UMP",3.02151317379743e-05
"2011-10-03","CMP","Verts",0.00018037518037518
"2011-10-03","Éric Walter","FNAC",8.3166999334664e-05
"2011-10-03","Éric Walter","Frédéric Mitterrand",3.4168467629648e-05
"2011-10-03","Éric Walter","Guillaume Cerutti",0.00119760479041916
"2011-10-03","Éric Walter","Jack Lang",0.000164055450742351
"2011-10-03","Éric Walter","Jacques Toubon",0.000217746325530757
"2011-10-03","Éric Walter","Jean-François Copé",0.000169873019917612
"2011-10-03","Éric Walter","Mission Olivennes",6.67189298283655e-05
"2011-10-03","Éric Walter","Mission Zelnik",9.21234454168586e-05
"2011-10-03","Éric Walter","Naïve",0.000443557329784874
"2011-10-03","Éric Walter","Nicolas Sarkozy",1.81455271275631e-05
"2011-10-03","Éric Walter","PCF",0.000748502994011976
"2011-10-03","Éric Walter","UMP",1.51980303352685e-05
"2011-10-03","Éric Walter","Verts",9.07276356378153e-05
"2011-10-03","FNAC","Frédéric Mitterrand",3.96259312093834e-05
"2011-10-03","FNAC","Guillaume Cerutti",0.00138888888888889
"2011-10-03","FNAC","Jack Lang",0.000190258751902587
"2011-10-03","FNAC","Jacques Toubon",0.000252525252525253
"2011-10-03","FNAC","Jean-François Copé",0.000197005516154453
"2011-10-03","FNAC","Mission Olivennes",7.73754255648405e-05
"2011-10-03","FNAC","Mission Zelnik",0.000106837606837607
"2011-10-03","FNAC","Naïve",0.000514403292181069
"2011-10-03","FNAC","Nicolas Sarkozy",2.10437710437711e-05
"2011-10-03","FNAC","PCF",0.000868055555555555
"2011-10-03","FNAC","UMP",1.76254935138183e-05
"2011-10-03","FNAC","Verts",0.000105218855218855
"2011-10-03","Frédéric Mitterrand","Guillaume Cerutti",0.000570613409415122
"2011-10-03","Frédéric Mitterrand","Jack Lang",7.81662204678249e-05
"2011-10-03","Frédéric Mitterrand","Jacques Toubon",0.000103747892620931
"2011-10-03","Frédéric Mitterrand","Jean-François Copé",8.09380722574643e-05
"2011-10-03","Frédéric Mitterrand","Mission Olivennes",3.17890478782798e-05
"2011-10-03","Frédéric Mitterrand","Mission Zelnik",4.38933391857786e-05
"2011-10-03","Frédéric Mitterrand","Naïve",0.000211338299783378
"2011-10-03","Frédéric Mitterrand","Nicolas Sarkozy",8.64565771841097e-06
"2011-10-03","Frédéric Mitterrand","PCF",0.000356633380884451
"2011-10-03","Frédéric Mitterrand","UMP",7.24128692151168e-06
"2011-10-03","Frédéric Mitterrand","Verts",4.32282885920547e-05
"2011-10-03","Guillaume Cerutti","Jack Lang",0.00273972602739726
"2011-10-03","Guillaume Cerutti","Jacques Toubon",0.00363636363636364
"2011-10-03","Guillaume Cerutti","Jean-François Copé",0.00283687943262412
"2011-10-03","Guillaume Cerutti","Mission Olivennes",0.0011142061281337
"2011-10-03","Guillaume Cerutti","Mission Zelnik",0.00153846153846154
"2011-10-03","Guillaume Cerutti","Naïve",0.0074074074074074
"2011-10-03","Guillaume Cerutti","Nicolas Sarkozy",0.000303030303030304
"2011-10-03","Guillaume Cerutti","PCF",0.0125
"2011-10-03","Guillaume Cerutti","UMP",0.000253807106598984
"2011-10-03","Guillaume Cerutti","Verts",0.00151515151515152
"2011-10-03","Jack Lang","Jacques Toubon",0.00049813200498132
"2011-10-03","Jack Lang","Jean-François Copé",0.000388613620907414
"2011-10-03","Jack Lang","Mission Olivennes",0.000152630976456672
"2011-10-03","Jack Lang","Mission Zelnik",0.000210748155953635
"2011-10-03","Jack Lang","Naïve",0.00101471334348047
"2011-10-03","Jack Lang","Nicolas Sarkozy",4.15110004151101e-05
"2011-10-03","Jack Lang","PCF",0.00171232876712329
"2011-10-03","Jack Lang","UMP",3.47680967943814e-05
"2011-10-03","Jack Lang","Verts",0.00020755500207555
"2011-10-03","Jacques Toubon","Jean-François Copé",0.000515796260477113
"2011-10-03","Jacques Toubon","Mission Olivennes",0.000202582932387946
"2011-10-03","Jacques Toubon","Mission Zelnik",0.00027972027972028
"2011-10-03","Jacques Toubon","Naïve",0.00134680134680135
"2011-10-03","Jacques Toubon","Nicolas Sarkozy",5.50964187327826e-05
"2011-10-03","Jacques Toubon","PCF",0.00227272727272727
"2011-10-03","Jacques Toubon","UMP",4.61467466543608e-05
"2011-10-03","Jacques Toubon","Verts",0.000275482093663912
"2011-10-03","Jean-François Copé","Mission Olivennes",0.000158043422430313
"2011-10-03","Jean-François Copé","Mission Zelnik",0.00021822149481724
"2011-10-03","Jean-François Copé","Naïve",0.00105069608615708
"2011-10-03","Jean-François Copé","Nicolas Sarkozy",4.29830217064262e-05
"2011-10-03","Jean-François Copé","PCF",0.00177304964539007
"2011-10-03","Jean-François Copé","UMP",3.60010080282248e-05
"2011-10-03","Jean-François Copé","Verts",0.00021491510853213
"2011-10-03","Mission Olivennes","Mission Zelnik",8.57081637025926e-05
