"","t","c","N","t2"
"1","2005-05","ACTA/SOPA/PIPA",0,2005-05-01
"2","2005-05","Classe politique : Droite",0,2005-05-01
"3","2005-05","Classe politique : Gauche",0,2005-05-01
"4","2005-05","CNIL/CSA",0,2005-05-01
"5","2005-05","Conseils/Rapports",0,2005-05-01
"6","2005-05","DRM",1,2005-05-01
"7","2005-05","Exécutif : Ministère",0,2005-05-01
"8","2005-05","Exécutif : PR/PM/GOUV",1,2005-05-01
"9","2005-05","HADOPI/DADVSI/LOPPSI",1,2005-05-01
"10","2005-05","Industrie : Culture",1,2005-05-01
"11","2005-05","Industrie : Info/Web",0,2005-05-01
"12","2005-05","Industrie : Télécom",0,2005-05-01
"13","2005-05","Opposants : Autres",0,2005-05-01
"14","2005-05","Opposants : EUCD/LQDN",1,2005-05-01
"15","2005-05","P2P/DDL",0,2005-05-01
"16","2005-05","Parlement",1,2005-05-01
"17","2005-05","UE/IPRED",0,2005-05-01
"18","2005-09","ACTA/SOPA/PIPA",0,2005-09-01
"19","2005-09","Classe politique : Droite",2,2005-09-01
"20","2005-09","Classe politique : Gauche",0,2005-09-01
"21","2005-09","CNIL/CSA",0,2005-09-01
"22","2005-09","Conseils/Rapports",0,2005-09-01
"23","2005-09","DRM",1,2005-09-01
"24","2005-09","Exécutif : Ministère",0,2005-09-01
"25","2005-09","Exécutif : PR/PM/GOUV",1,2005-09-01
"26","2005-09","HADOPI/DADVSI/LOPPSI",1,2005-09-01
"27","2005-09","Industrie : Culture",0,2005-09-01
"28","2005-09","Industrie : Info/Web",1,2005-09-01
"29","2005-09","Industrie : Télécom",0,2005-09-01
"30","2005-09","Opposants : Autres",1,2005-09-01
"31","2005-09","Opposants : EUCD/LQDN",1,2005-09-01
"32","2005-09","P2P/DDL",0,2005-09-01
"33","2005-09","Parlement",2,2005-09-01
"34","2005-09","UE/IPRED",0,2005-09-01
"35","2005-10","ACTA/SOPA/PIPA",0,2005-10-01
"36","2005-10","Classe politique : Droite",1,2005-10-01
"37","2005-10","Classe politique : Gauche",1,2005-10-01
"38","2005-10","CNIL/CSA",1,2005-10-01
"39","2005-10","Conseils/Rapports",0,2005-10-01
"40","2005-10","DRM",1,2005-10-01
"41","2005-10","Exécutif : Ministère",1,2005-10-01
"42","2005-10","Exécutif : PR/PM/GOUV",0,2005-10-01
"43","2005-10","HADOPI/DADVSI/LOPPSI",2,2005-10-01
"44","2005-10","Industrie : Culture",1,2005-10-01
"45","2005-10","Industrie : Info/Web",0,2005-10-01
"46","2005-10","Industrie : Télécom",0,2005-10-01
"47","2005-10","Opposants : Autres",1,2005-10-01
"48","2005-10","Opposants : EUCD/LQDN",0,2005-10-01
"49","2005-10","P2P/DDL",0,2005-10-01
"50","2005-10","Parlement",1,2005-10-01
"51","2005-10","UE/IPRED",0,2005-10-01
"52","2005-12","ACTA/SOPA/PIPA",0,2005-12-01
"53","2005-12","Classe politique : Droite",10,2005-12-01
"54","2005-12","Classe politique : Gauche",9,2005-12-01
"55","2005-12","CNIL/CSA",0,2005-12-01
"56","2005-12","Conseils/Rapports",4,2005-12-01
"57","2005-12","DRM",3,2005-12-01
"58","2005-12","Exécutif : Ministère",5,2005-12-01
"59","2005-12","Exécutif : PR/PM/GOUV",5,2005-12-01
"60","2005-12","HADOPI/DADVSI/LOPPSI",13,2005-12-01
"61","2005-12","Industrie : Culture",7,2005-12-01
"62","2005-12","Industrie : Info/Web",1,2005-12-01
"63","2005-12","Industrie : Télécom",0,2005-12-01
"64","2005-12","Opposants : Autres",4,2005-12-01
"65","2005-12","Opposants : EUCD/LQDN",5,2005-12-01
"66","2005-12","P2P/DDL",4,2005-12-01
"67","2005-12","Parlement",8,2005-12-01
"68","2005-12","UE/IPRED",0,2005-12-01
"69","2006-01","ACTA/SOPA/PIPA",0,2006-01-01
"70","2006-01","Classe politique : Droite",8,2006-01-01
"71","2006-01","Classe politique : Gauche",6,2006-01-01
"72","2006-01","CNIL/CSA",0,2006-01-01
"73","2006-01","Conseils/Rapports",2,2006-01-01
"74","2006-01","DRM",6,2006-01-01
"75","2006-01","Exécutif : Ministère",4,2006-01-01
"76","2006-01","Exécutif : PR/PM/GOUV",7,2006-01-01
"77","2006-01","HADOPI/DADVSI/LOPPSI",13,2006-01-01
"78","2006-01","Industrie : Culture",10,2006-01-01
"79","2006-01","Industrie : Info/Web",3,2006-01-01
"80","2006-01","Industrie : Télécom",0,2006-01-01
"81","2006-01","Opposants : Autres",3,2006-01-01
"82","2006-01","Opposants : EUCD/LQDN",0,2006-01-01
"83","2006-01","P2P/DDL",2,2006-01-01
"84","2006-01","Parlement",6,2006-01-01
"85","2006-01","UE/IPRED",1,2006-01-01
"86","2006-02","ACTA/SOPA/PIPA",0,2006-02-01
"87","2006-02","Classe politique : Droite",1,2006-02-01
"88","2006-02","Classe politique : Gauche",2,2006-02-01
"89","2006-02","CNIL/CSA",0,2006-02-01
"90","2006-02","Conseils/Rapports",0,2006-02-01
"91","2006-02","DRM",4,2006-02-01
"92","2006-02","Exécutif : Ministère",4,2006-02-01
"93","2006-02","Exécutif : PR/PM/GOUV",0,2006-02-01
"94","2006-02","HADOPI/DADVSI/LOPPSI",6,2006-02-01
"95","2006-02","Industrie : Culture",3,2006-02-01
"96","2006-02","Industrie : Info/Web",0,2006-02-01
"97","2006-02","Industrie : Télécom",0,2006-02-01
"98","2006-02","Opposants : Autres",0,2006-02-01
"99","2006-02","Opposants : EUCD/LQDN",1,2006-02-01
"100","2006-02","P2P/DDL",0,2006-02-01
"101","2006-02","Parlement",2,2006-02-01
"102","2006-02","UE/IPRED",0,2006-02-01
"103","2006-03","ACTA/SOPA/PIPA",0,2006-03-01
"104","2006-03","Classe politique : Droite",32,2006-03-01
"105","2006-03","Classe politique : Gauche",26,2006-03-01
"106","2006-03","CNIL/CSA",0,2006-03-01
"107","2006-03","Conseils/Rapports",0,2006-03-01
"108","2006-03","DRM",11,2006-03-01
"109","2006-03","Exécutif : Ministère",19,2006-03-01
"110","2006-03","Exécutif : PR/PM/GOUV",8,2006-03-01
"111","2006-03","HADOPI/DADVSI/LOPPSI",37,2006-03-01
"112","2006-03","Industrie : Culture",15,2006-03-01
"113","2006-03","Industrie : Info/Web",5,2006-03-01
"114","2006-03","Industrie : Télécom",0,2006-03-01
"115","2006-03","Opposants : Autres",7,2006-03-01
"116","2006-03","Opposants : EUCD/LQDN",2,2006-03-01
"117","2006-03","P2P/DDL",1,2006-03-01
"118","2006-03","Parlement",30,2006-03-01
"119","2006-03","UE/IPRED",1,2006-03-01
"120","2006-04","ACTA/SOPA/PIPA",0,2006-04-01
"121","2006-04","Classe politique : Droite",6,2006-04-01
"122","2006-04","Classe politique : Gauche",6,2006-04-01
"123","2006-04","CNIL/CSA",2,2006-04-01
"124","2006-04","Conseils/Rapports",0,2006-04-01
"125","2006-04","DRM",8,2006-04-01
"126","2006-04","Exécutif : Ministère",3,2006-04-01
"127","2006-04","Exécutif : PR/PM/GOUV",0,2006-04-01
"128","2006-04","HADOPI/DADVSI/LOPPSI",14,2006-04-01
"129","2006-04","Industrie : Culture",5,2006-04-01
"130","2006-04","Industrie : Info/Web",11,2006-04-01
"131","2006-04","Industrie : Télécom",5,2006-04-01
"132","2006-04","Opposants : Autres",0,2006-04-01
"133","2006-04","Opposants : EUCD/LQDN",1,2006-04-01
"134","2006-04","P2P/DDL",5,2006-04-01
"135","2006-04","Parlement",10,2006-04-01
"136","2006-04","UE/IPRED",0,2006-04-01
"137","2006-05","ACTA/SOPA/PIPA",0,2006-05-01
"138","2006-05","Classe politique : Droite",7,2006-05-01
"139","2006-05","Classe politique : Gauche",17,2006-05-01
"140","2006-05","CNIL/CSA",3,2006-05-01
"141","2006-05","Conseils/Rapports",0,2006-05-01
"142","2006-05","DRM",11,2006-05-01
"143","2006-05","Exécutif : Ministère",10,2006-05-01
"144","2006-05","Exécutif : PR/PM/GOUV",10,2006-05-01
"145","2006-05","HADOPI/DADVSI/LOPPSI",21,2006-05-01
"146","2006-05","Industrie : Culture",8,2006-05-01
"147","2006-05","Industrie : Info/Web",6,2006-05-01
"148","2006-05","Industrie : Télécom",1,2006-05-01
"149","2006-05","Opposants : Autres",2,2006-05-01
"150","2006-05","Opposants : EUCD/LQDN",3,2006-05-01
"151","2006-05","P2P/DDL",2,2006-05-01
"152","2006-05","Parlement",21,2006-05-01
"153","2006-05","UE/IPRED",2,2006-05-01
"154","2006-06","ACTA/SOPA/PIPA",0,2006-06-01
"155","2006-06","Classe politique : Droite",6,2006-06-01
"156","2006-06","Classe politique : Gauche",7,2006-06-01
"157","2006-06","CNIL/CSA",1,2006-06-01
"158","2006-06","Conseils/Rapports",0,2006-06-01
"159","2006-06","DRM",7,2006-06-01
"160","2006-06","Exécutif : Ministère",5,2006-06-01
"161","2006-06","Exécutif : PR/PM/GOUV",3,2006-06-01
