"","t","c","N","t2"
"1","2005-12","ACTA/SOPA/PIPA",0,2005-12-01
"2","2005-12","Classe politique : Droite",5,2005-12-01
"3","2005-12","Classe politique : Gauche",3,2005-12-01
"4","2005-12","CNIL/CSA",1,2005-12-01
"5","2005-12","Conseils/Rapports",2,2005-12-01
"6","2005-12","DRM",6,2005-12-01
"7","2005-12","Exécutif : Ministère",5,2005-12-01
"8","2005-12","Exécutif : PR/PM/GOUV",2,2005-12-01
"9","2005-12","HADOPI/DADVSI/LOPPSI",11,2005-12-01
"10","2005-12","Industrie : Culture",5,2005-12-01
"11","2005-12","Industrie : Info/Web",6,2005-12-01
"12","2005-12","Industrie : Télécom",0,2005-12-01
"13","2005-12","Opposants : Autres",2,2005-12-01
"14","2005-12","Opposants : EUCD/LQDN",2,2005-12-01
"15","2005-12","P2P/DDL",1,2005-12-01
"16","2005-12","Parlement",6,2005-12-01
"17","2005-12","UE/IPRED",1,2005-12-01
"18","2006-01","ACTA/SOPA/PIPA",0,2006-01-01
"19","2006-01","Classe politique : Droite",0,2006-01-01
"20","2006-01","Classe politique : Gauche",3,2006-01-01
"21","2006-01","CNIL/CSA",1,2006-01-01
"22","2006-01","Conseils/Rapports",1,2006-01-01
"23","2006-01","DRM",3,2006-01-01
"24","2006-01","Exécutif : Ministère",3,2006-01-01
"25","2006-01","Exécutif : PR/PM/GOUV",2,2006-01-01
"26","2006-01","HADOPI/DADVSI/LOPPSI",7,2006-01-01
"27","2006-01","Industrie : Culture",5,2006-01-01
"28","2006-01","Industrie : Info/Web",4,2006-01-01
"29","2006-01","Industrie : Télécom",0,2006-01-01
"30","2006-01","Opposants : Autres",0,2006-01-01
"31","2006-01","Opposants : EUCD/LQDN",0,2006-01-01
"32","2006-01","P2P/DDL",0,2006-01-01
"33","2006-01","Parlement",2,2006-01-01
"34","2006-01","UE/IPRED",0,2006-01-01
"35","2006-02","ACTA/SOPA/PIPA",0,2006-02-01
"36","2006-02","Classe politique : Droite",0,2006-02-01
"37","2006-02","Classe politique : Gauche",0,2006-02-01
"38","2006-02","CNIL/CSA",0,2006-02-01
"39","2006-02","Conseils/Rapports",0,2006-02-01
"40","2006-02","DRM",4,2006-02-01
"41","2006-02","Exécutif : Ministère",3,2006-02-01
"42","2006-02","Exécutif : PR/PM/GOUV",0,2006-02-01
"43","2006-02","HADOPI/DADVSI/LOPPSI",7,2006-02-01
"44","2006-02","Industrie : Culture",4,2006-02-01
"45","2006-02","Industrie : Info/Web",0,2006-02-01
"46","2006-02","Industrie : Télécom",0,2006-02-01
"47","2006-02","Opposants : Autres",5,2006-02-01
"48","2006-02","Opposants : EUCD/LQDN",0,2006-02-01
"49","2006-02","P2P/DDL",0,2006-02-01
"50","2006-02","Parlement",4,2006-02-01
"51","2006-02","UE/IPRED",0,2006-02-01
"52","2006-03","ACTA/SOPA/PIPA",0,2006-03-01
"53","2006-03","Classe politique : Droite",10,2006-03-01
"54","2006-03","Classe politique : Gauche",10,2006-03-01
"55","2006-03","CNIL/CSA",0,2006-03-01
"56","2006-03","Conseils/Rapports",0,2006-03-01
"57","2006-03","DRM",10,2006-03-01
"58","2006-03","Exécutif : Ministère",11,2006-03-01
"59","2006-03","Exécutif : PR/PM/GOUV",4,2006-03-01
"60","2006-03","HADOPI/DADVSI/LOPPSI",25,2006-03-01
"61","2006-03","Industrie : Culture",4,2006-03-01
"62","2006-03","Industrie : Info/Web",2,2006-03-01
"63","2006-03","Industrie : Télécom",0,2006-03-01
"64","2006-03","Opposants : Autres",5,2006-03-01
"65","2006-03","Opposants : EUCD/LQDN",2,2006-03-01
"66","2006-03","P2P/DDL",0,2006-03-01
"67","2006-03","Parlement",14,2006-03-01
"68","2006-03","UE/IPRED",0,2006-03-01
"69","2006-04","ACTA/SOPA/PIPA",0,2006-04-01
"70","2006-04","Classe politique : Droite",0,2006-04-01
"71","2006-04","Classe politique : Gauche",2,2006-04-01
"72","2006-04","CNIL/CSA",0,2006-04-01
"73","2006-04","Conseils/Rapports",0,2006-04-01
"74","2006-04","DRM",1,2006-04-01
"75","2006-04","Exécutif : Ministère",0,2006-04-01
"76","2006-04","Exécutif : PR/PM/GOUV",0,2006-04-01
"77","2006-04","HADOPI/DADVSI/LOPPSI",2,2006-04-01
"78","2006-04","Industrie : Culture",2,2006-04-01
"79","2006-04","Industrie : Info/Web",2,2006-04-01
"80","2006-04","Industrie : Télécom",2,2006-04-01
"81","2006-04","Opposants : Autres",1,2006-04-01
"82","2006-04","Opposants : EUCD/LQDN",0,2006-04-01
"83","2006-04","P2P/DDL",0,2006-04-01
"84","2006-04","Parlement",2,2006-04-01
"85","2006-04","UE/IPRED",0,2006-04-01
"86","2006-05","ACTA/SOPA/PIPA",0,2006-05-01
"87","2006-05","Classe politique : Droite",2,2006-05-01
"88","2006-05","Classe politique : Gauche",7,2006-05-01
"89","2006-05","CNIL/CSA",0,2006-05-01
"90","2006-05","Conseils/Rapports",0,2006-05-01
"91","2006-05","DRM",5,2006-05-01
"92","2006-05","Exécutif : Ministère",2,2006-05-01
"93","2006-05","Exécutif : PR/PM/GOUV",0,2006-05-01
"94","2006-05","HADOPI/DADVSI/LOPPSI",10,2006-05-01
"95","2006-05","Industrie : Culture",4,2006-05-01
"96","2006-05","Industrie : Info/Web",1,2006-05-01
"97","2006-05","Industrie : Télécom",0,2006-05-01
"98","2006-05","Opposants : Autres",3,2006-05-01
"99","2006-05","Opposants : EUCD/LQDN",3,2006-05-01
"100","2006-05","P2P/DDL",0,2006-05-01
"101","2006-05","Parlement",8,2006-05-01
"102","2006-05","UE/IPRED",1,2006-05-01
"103","2006-06","ACTA/SOPA/PIPA",0,2006-06-01
"104","2006-06","Classe politique : Droite",5,2006-06-01
"105","2006-06","Classe politique : Gauche",3,2006-06-01
"106","2006-06","CNIL/CSA",0,2006-06-01
"107","2006-06","Conseils/Rapports",1,2006-06-01
"108","2006-06","DRM",9,2006-06-01
